Episode: 0, Reward: 61.000000
Episode: 1, Reward: 4.000000
Episode: 2, Reward: 46.000000
Episode: 3, Reward: 25.000000
Episode: 4, Reward: 3.000000
Episode: 5, Reward: 38.000000
Episode: 6, Reward: 19.000000
Episode: 7, Reward: 1.000000
Episode: 8, Reward: 26.000000
Episode: 9, Reward: 49.000000
Episode: 10, Reward: 16.000000
Episode: 11, Reward: 16.000000
Episode: 12, Reward: 13.000000
Episode: 13, Reward: 95.000000
Episode: 14, Reward: 17.000000
Episode: 15, Reward: 3.000000
Episode: 16, Reward: 8.000000
Episode: 17, Reward: 4.000000
Episode: 18, Reward: 13.000000
Episode: 19, Reward: 37.000000
Episode: 20, Reward: 11.000000
Episode: 21, Reward: 22.000000
Episode: 22, Reward: 29.000000
Episode: 23, Reward: 2.000000
Episode: 24, Reward: 16.000000
Episode: 25, Reward: 26.000000
Episode: 26, Reward: 43.000000
Episode: 27, Reward: 67.000000
Episode: 28, Reward: 12.000000
Episode: 29, Reward: 13.000000
Episode: 30, Reward: 20.000000
Episode: 31, Reward: 4.000000
Episode: 32, Reward: 10.000000
Episode: 33, Reward: 46.000000
Episode: 34, Reward: 4.000000
Episode: 35, Reward: 16.000000
Episode: 36, Reward: 19.000000
Episode: 37, Reward: 19.000000
Episode: 38, Reward: 17.000000
Episode: 39, Reward: 76.000000
Episode: 40, Reward: 5.000000
Episode: 41, Reward: 1.000000
Episode: 42, Reward: 148.000000
Episode: 43, Reward: 2.000000
Episode: 44, Reward: 23.000000
Episode: 45, Reward: 61.000000
Episode: 46, Reward: 8.000000
Episode: 47, Reward: 60.000000
Episode: 48, Reward: 12.000000
Episode: 49, Reward: 26.000000
Episode: 50, Reward: 52.000000
Episode: 51, Reward: 1.000000
Episode: 52, Reward: 2.000000
Episode: 53, Reward: 7.000000
Episode: 54, Reward: 40.000000
Episode: 55, Reward: 4.000000
Episode: 56, Reward: 11.000000
Episode: 57, Reward: 20.000000
Episode: 58, Reward: 4.000000
Episode: 59, Reward: 2.000000
Episode: 60, Reward: 38.000000
Episode: 61, Reward: 2.000000
Episode: 62, Reward: 22.000000
Episode: 63, Reward: 16.000000
Episode: 64, Reward: 5.000000
Episode: 65, Reward: 1.000000
Episode: 66, Reward: 17.000000
Episode: 67, Reward: 10.000000
Episode: 68, Reward: 23.000000
Episode: 69, Reward: 15.000000
Episode: 70, Reward: 57.000000
Episode: 71, Reward: 5.000000
Episode: 72, Reward: 46.000000
Episode: 73, Reward: 6.000000
Episode: 74, Reward: 31.000000
Episode: 75, Reward: 37.000000
Episode: 76, Reward: 5.000000
Episode: 77, Reward: 25.000000
Episode: 78, Reward: 4.000000
Episode: 79, Reward: 6.000000
Episode: 80, Reward: 24.000000
Episode: 81, Reward: 4.000000
Episode: 82, Reward: 4.000000
Episode: 83, Reward: 19.000000
Episode: 84, Reward: 5.000000
Episode: 85, Reward: 32.000000
Episode: 86, Reward: 30.000000
Episode: 87, Reward: 8.000000
Episode: 88, Reward: 38.000000
Episode: 89, Reward: 10.000000
Episode: 90, Reward: 8.000000
Episode: 91, Reward: 37.000000
Episode: 92, Reward: 35.000000
Episode: 93, Reward: 2.000000
Episode: 94, Reward: 4.000000
Episode: 95, Reward: 29.000000
Episode: 96, Reward: 21.000000
Episode: 97, Reward: 2.000000
Episode: 98, Reward: 31.000000
Episode: 99, Reward: 41.000000
22.1
